,tp,bcdry,LWin,SWin,sp,dustwet,ocwet,tcc,temp,dustdry,uwind,ocdry,bcwet,rh
2024-04-24 01:00:00,1.0320544e-05,6.7029715e-14,844065.94,1.35765e+06,86977.1,1.9948487e-12,1.0413892e-12,0.3170166,0.10348511,2.016165e-12,-1.5637324,6.7568173e-13,1.7846835e-13,82.46786
2024-04-24 02:00:00,1.0073185e-05,5.2818864e-14,838021.0,1.0188e+06,86966.3,1.608047e-12,8.56204e-13,0.22784424,0.08798218,1.4379609e-12,-1.7011323,5.628831e-13,1.473266e-13,82.767044
2024-04-24 03:00:00,1.142323e-05,2.854661e-14,840219.75,608850.0,86955.23,7.0777273e-15,1.2915082e-15,0.24414062,0.04220581,7.809309e-13,-1.7762344,3.0031533e-13,2.202567e-16,83.92528
2024-04-24 04:00:00,1.0228157e-05,1.0151602e-14,846372.2,240187.5,86945.75,2.204903e-13,1.2212453e-13,0.2659912,-0.24032593,2.1765922e-13,-1.4133182,1.313949e-13,2.0559951e-14,87.3553
2024-04-24 05:00:00,7.137656e-06,9.263423e-15,848341.0,19132.031,86938.96,7.6560996e-13,4.725109e-13,0.25390625,-1.2073364,1.3061774e-13,-1.4473308,1.4926949e-13,7.6438855e-14,84.45549
2024-04-24 06:00:00,3.6612155e-06,1.0522833e-14,842108.25,0.0,86938.12,4.3043347e-13,2.8876904e-13,0.21392822,-2.0055542,1.2412293e-13,-1.5694809,1.7658097e-13,4.5546903e-14,82.86729
2024-04-24 07:00:00,3.3169986e-06,1.17718335e-14,828894.3,0.0,86935.83,2.4034108e-12,1.2732038e-12,0.14929199,-2.6051636,1.1907142e-13,-1.5588417,2.0256019e-13,2.1221913e-13,83.34214
2024-04-24 08:00:00,9.328127e-07,1.4065138e-14,811559.8,0.0,86933.57,1.1762816e-13,8.06022e-14,0.13238525,-3.0766296,1.1579626e-13,-1.507009,2.5213165e-13,1.2587155e-14,84.11163
2024-04-24 09:00:00,1.6830861e-06,1.6035784e-14,807667.25,0.0,86935.84,9.419132e-13,5.7620575e-13,0.13391113,-3.5849304,1.1435297e-13,-1.5077114,2.9154457e-13,9.228729e-14,85.2225
2024-04-24 10:00:00,2.3394823e-06,1.762479e-14,813091.75,0.0,86940.67,1.468603e-12,1.1266543e-12,0.21533203,-3.9916382,1.145195e-13,-1.495616,3.206324e-13,1.757483e-13,86.38247
2024-04-24 11:00:00,4.246831e-06,1.8679502e-14,861538.5,0.0,86948.17,2.8048674e-12,2.2124524e-12,0.30932617,-4.1772766,1.1585177e-13,-1.4214473,3.3684167e-13,3.3972825e-13,87.251755
2024-04-24 12:00:00,5.3554777e-06,1.907502e-14,870349.06,0.0,86951.18,8.584246e-13,1.2234658e-12,0.3083496,-4.145355,1.1668444e-13,-1.2768664,3.4128256e-13,1.1740608e-13,87.75668
2024-04-24 13:00:00,6.571412e-06,1.8748891e-14,872584.5,781.5674,86955.586,7.91145e-13,1.2976287e-12,0.31518555,-4.104828,1.1707302e-13,-1.1505129,3.3328895e-13,1.1149415e-13,88.43954
2024-04-24 14:00:00,6.1869623e-06,1.900563e-14,871285.75,124368.75,86957.32,9.45466e-13,1.393996e-12,0.30651855,-4.030365,1.1818324e-13,-1.1052505,3.3972825e-13,1.2934098e-13,88.975426
2024-04-24 15:00:00,6.520748e-06,2.2239155e-14,861625.6,454612.5,86960.56,1.0231818e-12,1.3629098e-12,0.30847168,-3.7151794,1.21958e-13,-1.1412393,4.0989434e-13,1.3500312e-13,89.44832
2024-04-24 16:00:00,6.073713e-06,6.5142336e-14,867765.7,844650.0,86961.84,1.3300472e-12,1.3167245e-12,0.30029297,-2.8994446,1.5343282e-13,-1.0695963,1.3131718e-12,1.6070478e-13,89.548
2024-04-24 17:00:00,6.1035153e-06,1.0255685e-13,857710.4,1.2726e+06,86970.71,2.2257751e-12,1.7497115e-12,0.30444336,-1.073822,9.778844e-13,-1.7371732,1.6440183e-12,2.549072e-13,88.769394
2024-04-24 18:00:00,8.422136e-06,7.999157e-14,872198.9,1.6218e+06,86979.7,4.03233e-12,3.2827074e-12,0.33776855,-0.3892212,1.0227375e-12,-2.2972865,1.1075585e-12,4.58078e-13,87.16562
